code, name, credit, desc, Prereqs, GenEd, Repeat, Grading
GEOL 518,"  Geodynamics",3,"
 Required preparation, one introductory geology course. Interior of the earth deduced from seismology, gravity, heat flow, magnetism; geophysics of continents and ocean basins; age of earth.","Prerequisites, CHEM 102; MATH 232; and PHYS 104 and 105, or 114 and 115.",,,"Letter grade.
"
GEOL 520,"  Data Analysis in the Earth Sciences",3,"
 Required preparation, an introductory geology course numbered below 202, except first-year seminar, or permission of the instructor. Introduction to quantitative analysis in earth sciences: solid earth, atmospheres, oceans, geochemistry, and paleontology. Topics covered: univariate and multivariate statistics, testing, nonparametric methods, time series, spatial and cluster analysis, shapes.","Prerequisites, MATH 231 and 232.",,,"Letter grade.
"
GEOL 521,"  Clastic Depositional Systems: Processes and Products",3,"
 Examination of the use of lateral and vertical changes in sedimentary facies to identify depositional processes and environments of deposition within the terrestrial, marginal marine, shelf, and deep sea clastic depositional systems. These systems will be examined in a sequence stratigraphic framework.","Prerequisite, GEOL 303.
",,,
GEOL 522,"  Physical Volcanology",3,"
Required preparation, introductory courses in geology and physics. Course is aimed at understanding the physical properties and processes controlling volcanism and magma transport. Topics covered include volcanic processes from the formation of magma in the upper mantle to violent eruption at the surface. Emphasizes dynamic processes and underlying mechanisms.",,,,"Letter grade.
"
GEOL 523,"  Petroleum Geoscience",4,"
 Students study the origin, migration, and entrapment of hydrocarbons in sedimentary basins and learn how several areas of the geosciences are integrated to locate and produce hydrocarbons. Students learn about these topics while analyzing a real subsurface data set.","Prerequisites, GEOL 302 and 303; permission of the instructor for students lacking the prerequisites.",,,"Letter grade.
"
GEOL 525,"  Inverse Theory: Advanced Data Analysis and Geophysical Modeling",3,"
The course deals with earth science problems related to extracting model parameters from data and field observations. Details of mathematical concepts, real world examples, and practical applications associated with noisy or incomplete data are covered. Key concepts include multivariate regression, model discretization, Tikhonov regularization, and Bayesian methods.",,,,"Letter grade.
"
GEOL 550,"  Biogeochemical Cycling",3,"
 Biogeochemical cycling explores interfaces of marine, aquatic, atmospheric, and geological sciences emphasizing processes controlling chemical distributions in sediments, fresh and salt water, the atmosphere, and fluxes among these reservoirs.","Prerequisites, ENVR 421; GEOL 405, 436, 655; MASC 440, 505; or permission of the instructor.","PL, CI.",,"Letter gradeSame as: MASC 550.
"
GEOL 552,"  Organic Geochemistry",3,"
Recommended preparation, CHEM 261 or MASC 505, and one additional ENVR, GEOL, or MASC course above 400. Sources, transformations, and fate of natural organic matter in marine environments. Emphasis on interplay of chemical, biological, and physical processes that affect organic matter composition, distribution, and turnover.",,"PL.",,"Letter gradeSame as: MASC 552, ENVR 552.
"
GEOL 555,"  Paleobotany: An Introduction to the Past History of Plants",3,"
 An introduction to the fossil record of plants, investigating how plants originated and changed through geological time to produce the modern flora.  Both macrofossils and microfossils will be considered.  Three lecture hours a week.","Prerequisites, BIOL 202, and one other BIOL course above 200; corequisite, BIOL 555L; permission of the instructor for students lacking the requisites.","EE- Field Work.",,"Letter gradeSame as: BIOL 555.
"
GEOL 560,"  Fluid Dynamics",3,"
 The physical properties of fluids, kinematics, governing equations, viscous incompressible flow, vorticity dynamics, boundary layers, irrotational incompressible flow.","Prerequisite, PHYS 401; permission of the instructor for students lacking the prerequisite.",,,"Letter gradeSame as: MASC 560, ENVR 452, PHYS 660.
"
GEOL 563,"  Descriptive Physical Oceanography",3,"
 Observed structure of the large-scale and mesoscale ocean circulation and its variability, based on modern observations. In-situ and remote sensing techniques, hydrographic structure, circulation patterns, ocean-atmosphere interactions.","Prerequisite, MASC 506; permission of the instructor for students lacking the prerequisite.","PL.",,"Letter gradeSame as: MASC 563.
"
GEOL 567,"  Application of Plasma Mass Spectrometry in Earth and Environmental Sciences",3,"
 This class is an introduction to one of the state-of-the-art analytical techniques in geological and environmental research - the ICP-MS (Inductively Coupled Plasma - Mass Spectrometry). Students will have hands-on experiences with ICP-MS sample preparation and analysis, and they will design their own hypothesis-driven research projects to analyze major and trace elements in geological and environmental samples including water, rock, and soil.","Prerequisite, GEOL 101, 200, or 201.","EE- Mentored Research.",,"Letter grade.
"
GEOL 580,"  Evolution of Earth's Surface Environment",3,"
The course combines geology, climatology, hydrology, and soil science to explore the evolution of the surface environment of the earth from the Archean to the present, including the great oxidation event and modern ocean anoxia. Students will read research papers and will be encouraged to question and debate course topics.",,,,"Letter grade.
"
